caseId,caseGroupId,variantId,questionType,retrievalType,difficulty,answerability,counted,passed,failureStage,semanticHit,semanticBestRank,lexicalHit,lexicalBestRank,fusionHit,fusionBestRank,rerankHit,rerankBestRank,selectedDocumentHit,finalContextHit,durationMs
kb-eval-001,update-humanet-august-2026,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,8,True,1,True,True,14585
kb-eval-002,update-humanet-august-2026,v2,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,11,True,2,True,True,8349
kb-eval-003,update-humanet-august-2026,v3,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,6,True,2,True,True,8012
kb-eval-004,update-humanet-december-2026,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,9,True,1,True,True,8143
kb-eval-005,update-humanet-september-2026,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,10,True,3,True,True,8245
kb-eval-006,update-humanet-rule,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,18,True,37,True,1,True,True,8406
kb-eval-007,update-humanet-august-2025,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,6,True,1,True,True,8120
kb-eval-008,onedrive-blue-cloud-icon,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,6,True,1,True,True,7461
kb-eval-009,onedrive-blue-cloud-icon,v2,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,2,True,1,True,True,7033
kb-eval-010,onedrive-red-cross-icon,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,9,True,22,True,1,True,True,7989
kb-eval-011,onedrive-yellow-triangle-icon,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,41,True,79,True,79,True,True,7574
kb-eval-012,onedrive-blue-arrows-icon,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,9,True,1,True,True,8155
kb-eval-013,onedrive-files-on-demand,v1,definition_question,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,15,True,35,True,1,True,True,6667
kb-eval-014,onedrive-sharing-link,v1,concrete_fact_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,6,True,13,True,1,True,True,8481
kb-eval-015,onedrive-recycle-bin-retention,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,False,lost_in_document_selection,False,,True,33,True,67,True,67,False,False,7791
kb-eval-016,onedrive-version-history,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,False,,False,,False,,True,True,6968
kb-eval-017,mfa-login-office,v1,procedural_how_to,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,8428
kb-eval-018,mfa-sms-code,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,3,True,1,True,True,8316
kb-eval-019,mfa-authenticator-add,v1,procedural_how_to,single_page_multi_chunk,medium,answerable,True,True,passed,True,6,True,1,True,1,True,1,True,True,6994
kb-eval-020,outlook-signature-change,v1,procedural_how_to,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,3,True,13,True,1,True,True,7715
kb-eval-021,servicedesk-email-change,v1,procedural_how_to,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,1,True,5,True,1,True,True,7868
kb-eval-022,servicedesk-login-methods,v1,concrete_fact_lookup,single_page_single_chunk,medium,answerable,True,False,lost_in_document_selection,False,,True,52,True,102,True,102,False,False,7118
kb-eval-023,servicedesk-login-url,v1,exact_identifier_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,13,True,31,True,1,True,True,7245
kb-eval-024,servicedesk-user-inactive-reasons,v1,troubleshooting_question,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,6,True,16,True,1,True,True,7865
